,square,space_H,space_W,square_H,square_W,margin_H,margin_W,amount_sq_H,amount_sq_W,h,w,busbar_width,coverage [%],amount of ptc elements,square/aspect-ratio
99,0.088,4.2,4.8,0.5,5.7,1.7,6.4,34.0,2.0,159.0,29.0,5.379,3.0,68.0,0.09
100,0.088,4.2,3.8999999999999995,0.5,5.7,1.7,6.85,34.0,2.0,159.0,29.0,5.379,3.0,68.0,0.09
101,0.088,4.2,4.2,0.5,5.7,1.7,6.7,34.0,2.0,159.0,29.0,5.379,3.0,68.0,0.09
102,0.088,4.2,4.5,0.5,5.7,1.7,6.55,34.0,2.0,159.0,29.0,5.379,3.0,68.0,0.09
103,0.088,4.2,4.8,0.5,5.7,1.7,6.4,34.0,2.0,159.0,29.0,5.379,3.0,68.0,0.09
104,0.088,4.2,3.8999999999999995,0.5,5.7,1.7,6.85,34.0,2.0,159.0,29.0,5.379,3.0,68.0,0.09
105,0.088,4.2,4.2,0.5,5.7,1.7,6.7,34.0,2.0,159.0,29.0,5.379,3.0,68.0,0.09
106,0.088,4.2,4.5,0.5,5.7,1.7,6.55,34.0,2.0,159.0,29.0,5.379,3.0,68.0,0.09
107,0.088,4.2,4.8,0.5,5.7,1.7,6.4,34.0,2.0,159.0,29.0,5.379,3.0,68.0,0.09
108,0.088,4.2,3.5999999999999996,0.5,5.7,1.7,7.0,34.0,2.0,159.0,29.0,5.379,3.0,68.0,0.09
109,0.088,4.2,3.8999999999999995,0.5,5.7,1.7,6.85,34.0,2.0,159.0,29.0,5.379,3.0,68.0,0.09
110,0.088,4.2,4.2,0.5,5.7,1.7,6.7,34.0,2.0,159.0,29.0,5.379,3.0,68.0,0.09
111,0.088,4.2,4.5,0.5,5.7,1.7,6.55,34.0,2.0,159.0,29.0,5.379,3.0,68.0,0.09
112,0.088,4.2,4.8,0.5,5.7,1.7,6.4,34.0,2.0,159.0,29.0,5.379,3.0,68.0,0.09
113,0.088,4.2,3.3,0.5,5.7,1.7,7.15,34.0,2.0,159.0,29.0,5.379,3.0,68.0,0.09
