,coverage [%],amount of ptc elements,square/aspect-ratio
475,6.0,86.0,0.11
476,6.0,86.0,0.11
477,6.0,86.0,0.11
478,6.0,86.0,0.11
479,6.0,86.0,0.11
480,6.0,86.0,0.11
481,6.0,86.0,0.11
482,6.0,86.0,0.11
483,6.0,86.0,0.11
484,6.0,86.0,0.11
485,6.0,86.0,0.11
486,6.0,86.0,0.11
487,6.0,86.0,0.11
488,6.0,86.0,0.11
489,6.0,86.0,0.11
490,6.0,86.0,0.11
491,6.0,86.0,0.11
492,6.0,86.0,0.11
493,6.0,86.0,0.11
494,6.0,86.0,0.11
495,6.0,86.0,0.11
496,6.0,86.0,0.11
497,6.0,86.0,0.11
498,6.0,86.0,0.11
499,6.0,86.0,0.11
500,6.0,86.0,0.11
501,6.0,86.0,0.11
502,6.0,86.0,0.11
503,6.0,86.0,0.11
504,6.0,86.0,0.11
505,6.0,86.0,0.11
506,6.0,86.0,0.11
507,6.0,86.0,0.11
508,6.0,86.0,0.11
509,6.0,86.0,0.11
510,6.0,86.0,0.11
511,6.0,86.0,0.11
512,6.0,86.0,0.11
513,6.0,86.0,0.11
514,6.0,86.0,0.11
515,6.0,86.0,0.11
516,6.0,86.0,0.11
517,6.0,86.0,0.11
518,6.0,86.0,0.11
519,6.0,86.0,0.11
520,3.0,82.0,0.11
521,3.0,82.0,0.11
522,6.0,92.0,0.12
523,6.0,92.0,0.12
524,6.0,92.0,0.12
525,6.0,92.0,0.12
526,6.0,92.0,0.12
527,6.0,92.0,0.12
528,6.0,92.0,0.12
529,6.0,92.0,0.12
530,6.0,92.0,0.12
531,6.0,92.0,0.12
532,6.0,92.0,0.12
533,6.0,92.0,0.12
534,6.0,92.0,0.12
535,6.0,92.0,0.12
536,6.0,92.0,0.12
537,6.0,92.0,0.12
538,6.0,92.0,0.12
539,6.0,92.0,0.12
540,6.0,92.0,0.12
541,6.0,92.0,0.12
542,6.0,92.0,0.12
543,6.0,92.0,0.12
544,6.0,92.0,0.12
545,6.0,92.0,0.12
546,6.0,92.0,0.12
547,6.0,92.0,0.12
548,6.0,92.0,0.12
549,6.0,92.0,0.12
550,6.0,92.0,0.12
551,6.0,92.0,0.12
552,6.0,92.0,0.12
553,6.0,92.0,0.12
554,6.0,92.0,0.12
555,6.0,92.0,0.12
556,6.0,92.0,0.12
557,6.0,92.0,0.12
558,6.0,92.0,0.12
559,6.0,92.0,0.12
560,6.0,92.0,0.12
561,6.0,92.0,0.12
562,6.0,92.0,0.12
563,6.0,92.0,0.12
564,6.0,92.0,0.12
565,6.0,92.0,0.12
566,6.0,92.0,0.12
567,6.0,92.0,0.12
568,6.0,92.0,0.12
569,6.0,92.0,0.12
570,6.0,92.0,0.12
571,6.0,92.0,0.12
572,6.0,92.0,0.12
573,6.0,92.0,0.12
574,6.0,92.0,0.12
575,6.0,92.0,0.12
576,6.0,92.0,0.12
577,6.0,92.0,0.12
578,6.0,92.0,0.12
579,6.0,92.0,0.12
580,6.0,92.0,0.12
581,6.0,92.0,0.12
582,6.0,92.0,0.12
583,6.0,92.0,0.12
584,6.0,92.0,0.12
585,6.0,92.0,0.12
586,6.0,92.0,0.12
587,6.0,92.0,0.12
588,6.0,92.0,0.12
589,6.0,92.0,0.12
590,6.0,92.0,0.12
591,6.0,92.0,0.12
592,6.0,92.0,0.12
593,6.0,92.0,0.12
594,6.0,92.0,0.12
595,6.0,92.0,0.12
596,6.0,92.0,0.12
597,6.0,92.0,0.12
598,6.0,92.0,0.12
599,6.0,92.0,0.12
600,6.0,92.0,0.12
601,6.0,92.0,0.12
602,6.0,92.0,0.12
603,6.0,92.0,0.12
604,6.0,92.0,0.12
605,6.0,92.0,0.12
606,6.0,92.0,0.12
607,6.0,92.0,0.12
608,6.0,92.0,0.12
609,6.0,92.0,0.12
610,3.0,90.0,0.12
611,3.0,90.0,0.12
612,3.0,90.0,0.12
613,3.0,90.0,0.12
614,3.0,90.0,0.12
615,3.0,90.0,0.12
616,3.0,90.0,0.12
617,3.0,90.0,0.12
618,3.0,90.0,0.12
619,3.0,90.0,0.12
620,3.0,90.0,0.12
621,3.0,90.0,0.12
622,3.0,90.0,0.12
623,3.0,90.0,0.12
624,3.0,90.0,0.12
625,3.0,90.0,0.12
626,3.0,90.0,0.12
627,3.0,90.0,0.12
628,3.0,90.0,0.12
629,3.0,90.0,0.12
630,3.0,90.0,0.12
631,3.0,90.0,0.12
632,3.0,90.0,0.12
633,3.0,90.0,0.12
634,3.0,90.0,0.12
635,3.0,90.0,0.12
636,3.0,90.0,0.12
637,3.0,90.0,0.12
638,3.0,90.0,0.12
639,3.0,90.0,0.12
640,3.0,90.0,0.12
641,3.0,90.0,0.12
642,3.0,90.0,0.12
643,3.0,90.0,0.12
644,3.0,90.0,0.12
645,3.0,90.0,0.12
646,3.0,90.0,0.12
647,3.0,90.0,0.12
648,3.0,90.0,0.12
649,3.0,90.0,0.12
650,3.0,90.0,0.12
651,3.0,90.0,0.12
652,3.0,90.0,0.12
653,3.0,90.0,0.12
654,3.0,90.0,0.12
655,3.0,90.0,0.12
656,3.0,90.0,0.12
657,3.0,90.0,0.12
658,3.0,90.0,0.12
659,3.0,90.0,0.12
660,3.0,90.0,0.12
661,3.0,90.0,0.12
662,3.0,90.0,0.12
663,3.0,90.0,0.12
664,3.0,90.0,0.12
665,3.0,90.0,0.12
666,3.0,90.0,0.12
667,3.0,90.0,0.12
668,3.0,90.0,0.12
669,3.0,90.0,0.12
670,3.0,90.0,0.12
671,3.0,90.0,0.12
672,3.0,90.0,0.12
673,3.0,90.0,0.12
674,3.0,90.0,0.12
675,3.0,90.0,0.12
676,3.0,90.0,0.12
677,3.0,90.0,0.12
678,3.0,90.0,0.12
679,3.0,90.0,0.12
680,3.0,90.0,0.12
681,3.0,90.0,0.12
682,3.0,90.0,0.12
683,3.0,90.0,0.12
684,3.0,90.0,0.12
685,3.0,90.0,0.12
686,3.0,90.0,0.12
687,3.0,90.0,0.12
688,3.0,90.0,0.12
689,3.0,90.0,0.12
690,3.0,90.0,0.12
691,3.0,90.0,0.12
692,3.0,90.0,0.12
693,3.0,90.0,0.12
694,3.0,90.0,0.12
695,3.0,90.0,0.12
696,3.0,90.0,0.12
697,3.0,90.0,0.12
698,3.0,90.0,0.12
699,3.0,90.0,0.12
700,3.0,90.0,0.12
701,3.0,90.0,0.12
702,3.0,90.0,0.12
703,3.0,90.0,0.12
704,3.0,90.0,0.12
705,3.0,90.0,0.12
706,3.0,90.0,0.12
707,3.0,90.0,0.12
708,3.0,90.0,0.12
709,3.0,90.0,0.12
710,3.0,90.0,0.12
711,3.0,90.0,0.12
712,3.0,90.0,0.12
713,3.0,90.0,0.12
714,3.0,90.0,0.12
715,3.0,90.0,0.12
716,3.0,90.0,0.12
717,3.0,90.0,0.12
718,3.0,90.0,0.12
719,3.0,90.0,0.12
720,3.0,90.0,0.12
721,3.0,90.0,0.12
722,3.0,90.0,0.12
723,3.0,90.0,0.12
724,3.0,90.0,0.12
725,3.0,90.0,0.12
726,3.0,90.0,0.12
727,3.0,90.0,0.12
728,3.0,90.0,0.12
729,3.0,90.0,0.12
730,3.0,90.0,0.12
731,3.0,90.0,0.12
732,3.0,90.0,0.12
733,3.0,90.0,0.12
734,3.0,90.0,0.12
735,3.0,90.0,0.12
736,3.0,90.0,0.12
737,3.0,90.0,0.12
738,3.0,90.0,0.12
739,3.0,90.0,0.12
740,3.0,90.0,0.12
741,3.0,90.0,0.12
742,3.0,90.0,0.12
743,3.0,90.0,0.12
744,3.0,90.0,0.12
745,3.0,90.0,0.12
746,3.0,90.0,0.12
747,3.0,90.0,0.12
748,3.0,90.0,0.12
749,3.0,90.0,0.12
750,3.0,90.0,0.12
751,3.0,90.0,0.12
752,3.0,90.0,0.12
753,3.0,90.0,0.12
754,3.0,90.0,0.12
755,3.0,90.0,0.12
756,3.0,90.0,0.12
757,3.0,90.0,0.12
758,3.0,90.0,0.12
759,3.0,90.0,0.12
760,3.0,90.0,0.12
761,3.0,90.0,0.12
762,3.0,90.0,0.12
763,3.0,90.0,0.12
764,3.0,90.0,0.12
765,3.0,90.0,0.12
766,3.0,90.0,0.12
767,3.0,90.0,0.12
768,3.0,90.0,0.12
769,3.0,90.0,0.12
770,3.0,90.0,0.12
771,3.0,90.0,0.12
772,3.0,90.0,0.12
773,3.0,90.0,0.12
774,3.0,90.0,0.12
775,3.0,90.0,0.12
776,3.0,90.0,0.12
777,3.0,90.0,0.12
778,3.0,90.0,0.12
779,3.0,90.0,0.12
780,3.0,90.0,0.12
781,3.0,90.0,0.12
782,3.0,90.0,0.12
783,3.0,90.0,0.12
784,3.0,90.0,0.12
785,3.0,90.0,0.12
786,3.0,90.0,0.12
787,3.0,90.0,0.12
788,3.0,90.0,0.12
789,3.0,90.0,0.12
790,3.0,90.0,0.12
791,3.0,90.0,0.12
792,3.0,90.0,0.12
793,3.0,90.0,0.12
794,3.0,90.0,0.12
795,3.0,90.0,0.12
796,3.0,90.0,0.12
797,3.0,90.0,0.12
798,3.0,90.0,0.12
799,3.0,90.0,0.12
800,3.0,90.0,0.12
801,3.0,90.0,0.12
802,3.0,90.0,0.12
803,3.0,90.0,0.12
804,3.0,90.0,0.12
805,3.0,90.0,0.12
806,3.0,90.0,0.12
807,3.0,90.0,0.12
808,3.0,90.0,0.12
809,3.0,90.0,0.12
810,3.0,90.0,0.12
811,3.0,90.0,0.12
812,3.0,90.0,0.12
813,3.0,90.0,0.12
814,3.0,90.0,0.12
815,3.0,90.0,0.12
816,3.0,90.0,0.12
817,3.0,90.0,0.12
818,3.0,90.0,0.12
819,3.0,90.0,0.12
820,3.0,90.0,0.12
821,3.0,90.0,0.12
822,3.0,90.0,0.12
823,3.0,90.0,0.12
824,3.0,90.0,0.12
825,3.0,90.0,0.12
826,3.0,90.0,0.12
827,3.0,90.0,0.12
828,3.0,90.0,0.12
829,3.0,90.0,0.12
830,3.0,90.0,0.12
831,3.0,90.0,0.12
832,3.0,90.0,0.12
833,3.0,90.0,0.12
834,3.0,90.0,0.12
835,3.0,90.0,0.12
836,3.0,90.0,0.12
837,3.0,90.0,0.12
838,10.0,104.0,0.13
839,10.0,104.0,0.13
840,10.0,104.0,0.13
841,10.0,104.0,0.13
842,10.0,104.0,0.13
843,10.0,104.0,0.13
844,10.0,104.0,0.13
845,10.0,104.0,0.13
846,10.0,104.0,0.13
847,10.0,104.0,0.13
848,10.0,104.0,0.13
849,10.0,104.0,0.13
850,10.0,104.0,0.13
851,10.0,104.0,0.13
852,10.0,104.0,0.13
853,10.0,104.0,0.13
854,10.0,104.0,0.13
855,10.0,104.0,0.13
856,10.0,104.0,0.13
857,10.0,104.0,0.13
858,10.0,104.0,0.13
859,10.0,104.0,0.13
860,10.0,104.0,0.13
861,10.0,104.0,0.13
862,10.0,104.0,0.13
863,10.0,104.0,0.13
864,10.0,104.0,0.13
865,10.0,104.0,0.13
866,10.0,104.0,0.13
867,10.0,104.0,0.13
868,10.0,104.0,0.13
869,10.0,104.0,0.13
870,10.0,104.0,0.13
871,10.0,104.0,0.13
872,10.0,104.0,0.13
873,10.0,104.0,0.13
874,10.0,104.0,0.13
875,10.0,104.0,0.13
876,10.0,104.0,0.13
877,10.0,104.0,0.13
878,10.0,104.0,0.13
879,10.0,104.0,0.13
880,10.0,104.0,0.13
881,10.0,104.0,0.13
882,10.0,104.0,0.13
883,10.0,104.0,0.13
884,10.0,104.0,0.13
885,10.0,104.0,0.13
886,10.0,104.0,0.13
887,10.0,104.0,0.13
888,10.0,104.0,0.13
889,10.0,104.0,0.13
890,10.0,104.0,0.13
891,10.0,104.0,0.13
892,10.0,104.0,0.13
893,10.0,104.0,0.13
894,10.0,104.0,0.13
895,10.0,104.0,0.13
896,10.0,104.0,0.13
897,10.0,104.0,0.13
898,10.0,104.0,0.13
899,10.0,104.0,0.13
900,10.0,104.0,0.13
901,10.0,104.0,0.13
902,10.0,104.0,0.13
903,10.0,104.0,0.13
904,10.0,104.0,0.13
905,10.0,104.0,0.13
906,10.0,104.0,0.13
907,10.0,104.0,0.13
908,10.0,104.0,0.13
909,10.0,104.0,0.13
910,10.0,104.0,0.13
911,10.0,104.0,0.13
912,10.0,104.0,0.13
913,10.0,104.0,0.13
914,10.0,104.0,0.13
915,10.0,104.0,0.13
916,10.0,104.0,0.13
917,10.0,104.0,0.13
918,10.0,104.0,0.13
919,10.0,104.0,0.13
920,10.0,104.0,0.13
921,10.0,104.0,0.13
922,10.0,104.0,0.13
923,10.0,104.0,0.13
924,10.0,104.0,0.13
925,10.0,104.0,0.13
926,10.0,104.0,0.13
927,10.0,104.0,0.13
928,10.0,104.0,0.13
929,10.0,104.0,0.13
930,6.0,102.0,0.13
931,6.0,102.0,0.13
932,6.0,102.0,0.13
933,6.0,102.0,0.13
934,6.0,102.0,0.13
935,6.0,102.0,0.13
936,6.0,102.0,0.13
937,6.0,102.0,0.13
938,6.0,102.0,0.13
939,6.0,102.0,0.13
940,6.0,102.0,0.13
941,6.0,102.0,0.13
942,6.0,102.0,0.13
943,6.0,102.0,0.13
944,6.0,102.0,0.13
945,6.0,102.0,0.13
946,6.0,102.0,0.13
947,6.0,102.0,0.13
948,6.0,102.0,0.13
949,6.0,102.0,0.13
950,6.0,102.0,0.13
951,6.0,102.0,0.13
952,6.0,102.0,0.13
953,6.0,102.0,0.13
954,6.0,102.0,0.13
955,6.0,102.0,0.13
956,6.0,102.0,0.13
957,6.0,102.0,0.13
958,6.0,102.0,0.13
959,6.0,102.0,0.13
960,6.0,102.0,0.13
961,6.0,102.0,0.13
962,6.0,102.0,0.13
963,6.0,102.0,0.13
964,6.0,102.0,0.13
965,6.0,102.0,0.13
966,6.0,102.0,0.13
967,6.0,102.0,0.13
968,6.0,102.0,0.13
969,6.0,102.0,0.13
970,6.0,102.0,0.13
971,6.0,102.0,0.13
972,6.0,102.0,0.13
973,6.0,102.0,0.13
974,6.0,102.0,0.13
975,6.0,102.0,0.13
976,6.0,102.0,0.13
977,6.0,102.0,0.13
978,6.0,102.0,0.13
979,6.0,102.0,0.13
980,6.0,102.0,0.13
981,6.0,102.0,0.13
982,6.0,102.0,0.13
983,6.0,102.0,0.13
984,6.0,102.0,0.13
985,6.0,102.0,0.13
986,6.0,102.0,0.13
987,6.0,102.0,0.13
988,6.0,102.0,0.13
989,6.0,102.0,0.13
990,6.0,102.0,0.13
991,6.0,102.0,0.13
992,6.0,102.0,0.13
993,6.0,102.0,0.13
